reviews,sentiment
thing like echo spot voice command feature ask answer play music getting adjust echo easy use,1
annoying alexa able downloaded spend time trying figure phrase machine look,1
bought older grandparent help reminder recommend life dementia memory loss help grandmother remember medication daily task love listen music ask question,1
love pretty cool,1
work great perfect office,1
sad joke worthless,0
love love love,1
prime day 2nd gen echo sale couldnt resist beginning smart home set couldnt happier alexa amazing job connecting smart device thanks control light smart plug tv etc trouble connecting echo wifi phone app work perfectly fine let add skill routine smart device timer sound quality good audiophile alexa hear voice watching movie high volume design great modern definitely add nice touch home change cover youd like sale overall great addition home enables possibility havent sure add alexa home,1
work great use arlo security system,1
,1
listens way expected love,1
easy set easy use,1
great sound little speaker,1
review,1
love fire stick thank,1
worked like new,1
connected brought option view connected channelsmust,1
love use day finding new way use longer,1
simple set music,1
great product great price,1
great product wish sort equalizer bass little,1
entire family love alexa echo shes family,1
speaker surprising quality happy purchase,1
like feature like video call,1
love user friendly better streaming device previously wish purchased sooner purchased,1
got night played bought long time ago,1
love,1
work expected easy setup use,1
matter minute indispensable addition house extrimelly useful hub information music automation communication assistant basic need love voice personalization thing better said aloud typed like door unlocking code problem unwitty developer far positive experience privacy invasion happened way alexa phone matter brand carrier alexa defence list button turn microphone,1
easy installation set better sound echo dot smart speaker satisified purchase,1
love device upgraded echo spot wish customize clock screen analog mimic echo spot better sound quality device,1
look great,1
love im trying figure thing item work great phone,1
bought healing room play continuous spa like music alexa know type music needed device deliver quality sound sound muffled didnt know buy speaker,1
learning use like far played music youtube couple movie complaint,1
love love,1
good experience far second generation echo thing learn time right enjoying music weather update alarm feature personality purchased mini smart socket yes excited begin,1
speaker device surprisingly good functionality echo device fantastic,1
alexa device work product unfortunately doesnt ability play video limited play youtube play video cropping screen make look strange selection clock face control display glaring annoying exception cant turn 34things try34 screen turn screen scroll defeat purpose having screen dont need reminded 5 second thing alexa dont need advertising especially cost device overall expensive alexa device screen thats useful annoying recommend amazon people act come screen thats actually useful,0
smaller original look nicer,1
great device work better 1st generation,1
easy set issue,1
work great,1
eh work half time respond wake work fine,0
love,1
love ita like having personal assistant computer,1
work great speaker good music need bluetooth speaker,1
like new set-up quick easy,1
kid love alexa skill amazing like little smarter answering basic question,1
satisfied product,1
,1
easy set,1
getting alexa think shes keeper,1
capability program grandkids lve,1
advertised bought gift great price fast shipping,1
havent taken advantage echo feature bother start talking havent said close wake word - echo - change alexa conflict device,1
love able talk grandson ease picture quality great,1
bluetooth sound great video crazy amazing device,1
,1
fun imagine household management option info question baffle alexa option cool - esp music-related,1
super easy set great feature fun,1
love,1
,0
awesome easy set linked right nexia home automation,1
dot echo plus cant 34hear34 doesnt expected,1
friend,1
love pretty cool,1
having fun alexa love able listen music im room busy,1
work unfortunately lot functionality lost mentioned work google youtube problem caused google came device longer allow access device like effected smart tv purchased communicate child grandchild happens hand,1
love echo dot easy use set,1
good quality great sound quality,1
love,1
purchased echo dot husband father day us constantly hearing quality sound echo 2nd generation no-brainer best gift,1
music news shopping list joke game,1
good quality dont yell close work understand properly,1
love thing alexa feature make easy find want matter streaming service searching netflix amazon etc alexa find,1
love dont know took long dont know didnt amazon prime day,1
helpful daily activity,1
like having tv big tablet,1
super easy set easy use lot app option available,1
thing awesome watch regular cable going black friday christmas gift,1
upgraded original echo prime day far love im sure long way maximize utility owe marked increase lyrical knowledge thing knew post malone actually word,1
t know use device thing need overview,1
mainly use music im learning time bad,1
cool,1
like thete watch tv run firestick,1
got amazon prime ring pro work great lazy guy dont need door anymore im gaming,1
echo work able sync amazon music device,1
prime day purchase im learning way far good addition alexa nice,1
worst amazon purchase big amazon fanlove brandunlimited digital musicprime videoseven buy online game music movie amazon app tried use simple purchase -- useless,0
great like new,1
,0
love,1
love echo,1
3rd echo device easy set work perfectly,1
nice product,1
alexa enabled device far lived reputation,1
awesome life changer seriously able start morning alexa having 34wake34me alarm playing music gotten voice room 34listen34 love echo dont hesitate price speaker unbelievable buying cordless holder echo love purchase love alexa,1
excellent listen music audio book look camera house,1
echo dot purchased love product,1
like list ability music play like create playlist app alexa play song tablet phone like alex print app,1
good addition small space keep date event weather condition,1
bought niece room cant tell refurbished look good work like new,1
come hub got prime day 99 hue white bulb work great add stuff required hub,1
great wake music told weather,1
amazing device,1
love wife hate,1
luv great product,1
great time family toddler talk feature wish learn overall love glad brought google home,1
nice toy,1
surprisingly handy wish option geared nigh stand like dimmer setting,1
amazing product great sound quality,1
,1
got couple week tell issue son wanted 34alexa34 6th birthday tell joke ask question listen music enjoy bought second week prime deal day,1
easy set said satisfied far,1
love feature play music room multiple echo,1
alexa perfect people like living talk sanity wish powerful speaker need connect bluetooth speaker,1
work great large open room,1
eh cool kinda boring dont know desk clock 35 right cant connect spotify premium im college im paying amazon music,1
great,1
soon im learning,1
love thanks amazon guy rock,1
fun work learning,1
like,1
echo wanted dot bedroom easier set original echo,1
good option,1
work like charm,1
dont echo definitely need,1
great,1
like new,1
work awesome,1
nice picture good sound mics sensitive dot dot hear house said love showi watch tv movie tg ed kitchen news playing musicloveit,1
helpful product glitch eg inability occasionally access flash briefing station understand answer certain question amazon likely fix improve,1
got prime day figured id hype honestly didnt want like personally bugging house kinda weird honestly love like way world going noti loved ordered 2 didnt look like came 1990s downright ugly interest watching device spot screen bother - clearalexa hear pretty favorite having living room hooked bluetooth soundbar - play song want guess pick smartphone dont know easier interact medium voice navigating multiple pagesthe thing fan home screen card rotate - rotate playing music id love display weather listen musicthe screen clear enjoy alexa able tell commute - great skill download tell traffic 5 different place program alexa traffic parent - tell best route time arrive current traffic programmed parent fiance parent work work work greatthe thing actually preferred dot spot dot light different color package notification seen spot package notification dot easy tell delivered recommend amazon exactly dot spot - dot light color - cant spot way command alexa blue ring ring yellow package updated deliveryoverall great device looking forward integrating home im looking dash button smart plug etc- home owner instead renting cant tinker thermostat purchasing nest road hvac integration,1
4 5 star original tall echo 4 dot 2 spot 1 thing im finding problem speaker spot drop im heard spot vice versa voice tends break sound coming intermittent optical fine sound ill repeat wake word 2-3 time im 8 foot away plus 20 stand find echo dot original echo better sound quality thats reason bought echo,1
work microphone don34t pick size echo audio quality okay size,1
versatile fun,1
expected,1
2 week like child like alexa family,1
expected,1
purchased grandson,1
price product nice quality nice feature definitely complaint reason gave 3 star echo dot thought going buyer error didnt know product plugged time work dont like stand device speaker loud buying bluetooth speaker dont lastly im sure echo dot lot havent figured use fully kind like unnecessary device plus setting awful definitely save money buy nicer actually alexa,0
alexa hardly came,0
im impressed quality sound echo definitely comparable bose mini gave 4 star cant use apple music account,1
firestick livingroom great entertainment bedroom,1
bought replace 34dot34 living room speaker slightly better hears better tv unfortunately doesnt understand respond request dot frequently request 2 3 time want dot usually exactly want request dont consider upgrade,1
dislike volume sound loud,1
excited happy breeze set favorite feature reading kindle going sleep thunderstorm music,1
alexa enabled device far lived reputation,1
work great speaker good music need bluetooth speaker,1
responsive great sound quality size,1
liked perfect size screen clear elegant,1
love echo,1
received echo gift needed bluetooth play music easily accessible found smart speaker cant wait,1
pleasantly surprised awesome far,1
great product want buy,1
tv didnt great picture look like new tv,1
great sound,1
stick solid entry level device supposed,1
looooooove thing watching movie bit disaster round screen great chachki toy,1
absolutely love product wish bought instead dot,1
great use music,1
echo great smaller,1
love echo im going live campus school fall got serve easy way connect people like camera make little sense carry device camera time difference item stationary family find drop-in feature comfort invasion privacy definitely source relief parent easily pop onme visa versaid like thank amazon including voiceview screen reader device lot blind friendly alexa present hadnt included thatwe echo-loving household dot echo show wouldnt surprised got future loved one thanks amazon,1
love wished gotten sooner,1
like volume turn quickly,1
love,1
work advertised,1
excellent product,1
learning ise disappoint im giving christmas check unnannounced like mejust advanced warning,1
broke cant help fixing replacing,0
draw stop awhile middle song,1
listen music set timer,1
love cant stop,1
built hub lack feature geo fencing phillips hub given 5 star,1
great device work better 1st generation,1
4 show broken screen lose line resolution timer reminder going hour late reminder trigger trying set reminder dont issue dot echo nice amazon act actually fix thing,0
having cellphone use feature ipad use great alarm u r deaf hear alarm bedroom living room reason herit fun ask random question hear response smartbon politics,1
refurbished way echo work like new,1
45 5 star generally like product great ask like playing music setting timer making call reason didnt rate 5 5 connection dy echo stop playing music show red ring connection issue overall great product,1
bought family member gift called like said love,1
thing barely work select 3rd party apps stuff youd think box im sending asap waste money,0
love echo spot waking favorite music able completely turn display night bedroom dark skill try easy use,1
echo havent probably wont use video function hoped display allow customization limited like clock weather display large text time display small text line say 34tell alexa that34 tip screen like away wont sound quality good good big echo good bought sale think got value paid disappointment paid price,1
satisfied echo alexa control light family room wife listen jimmy buffet asking alexa,1
android allow alexa connect fortunately sister apple cell hour tech support fixed glitch running,1
met exceeded expectation easy set quick response,1
got gift love bought allows play music amozon prime music thats worth give news brief tell joke,1
family love new echo,1
,1
work easier 3 year old better internet resemption,1
loved wish bought sooner,1
like remedial form star trek computer home,1
love listening music trying learn,1
easy use make finding show movie snap,1
work great,1
echo dot 2nd generation smart speaker compound size project good sound port connect external speaker greater projection sound like size awkward doesnt lot space work great alexa app think size great college student live dorm room small limited spacing,1
step smart home soon added item grocery list started loving wife so-so til opened rain sound shes convert love dot,1
small speaker sound great,1
echo plus bought bedroom love function,1
love size 2nd generation echo need little improvement sound,1
great productbut sound quality worsedont wrong definitely hour definitely feel like echo gen 1 sound quality betterbesides greatwith addition able play bluetooth wifi better,1
havent figured receive call device tell need register know,0
big guy,1
alexa couple day having lot fun new toy like having new household member trying learn different featues benefit come,1
loved work great,1
fun item play hard time answering question ask think better,1
great product fun use,1
love echo dot easy fun drop grandaughter life 2000 mile away sound like right,1
like echo spot bought use alarm clock negative didnt think wake morning somewhat groggy hard tell alexa turn alarm hard remember command snooze minute case clock button work better,1
far ok,1
gift husband great,1
purchased prime day absolutely love echo dot nightstand missed display perfect speaker excellent,1
behaved device enjoy,1
sound find useful overall frustrating doesnt respond forget correct command alexa turn living room light oops mean alexa turn family room light realized couch sofa time unfortunately alexa confused changing name sit,1
looked brand nrw tocomplain defently ordering,1
access apps,1
easy set work perfect,1
second echo purchase -- price cheap -- im seriously thinking buying 2 -- use 34alexa34 -- best thing internet -,1
year old love good basic household task going add smart outlet bulb,1
hand free voice command interaction smart device house make having echo plus best purchase ive,1
,1
funny buy look fun wind totally useful home loving,1
love,1
handy dont expect dumber assistant phone,1
love having bedroom kitchen great drop family house,1
great product fast shipping,1
im amazed alarm tell alexa wake particular song love play list music sure dont prime music available love fact amazon gave music free 3 monthsthey given prime free 3 month,1
great fun getting know function product wow -- family fun homework help talking grandchildrenwho echo huge bonus cant wait learn,1
good experience far second generation echo thing learn time right enjoying music weather update alarm feature personality purchased mini smart socket yes excited begin,1
love alexa,1
ease use,1
wish skill,1
love,1
love time gift friend,1
like look better original echo moved old echo basement family room nice sound,1
satisfied product perfect introduction alexa,1
soon im learning,1
love volume definitely use boost better built speaker definitively 5 star thought ahead audio auxiliary input bought dedicated speaker echo proved best way,1
echo plus straight forward easy use play great sounding music lot thing learning working far,1
there room improvement price complain complain audio terrible kind like listening speak-n-spell 80,1
got gift love bought allows play music amozon prime music thats worth give news brief tell joke,1
love learning possibility,1
work great,1
got second unit bedroom expecting sound improved didnt difference overall big improvement 1st generation,1
kid love alexa skill amazing like little smarter answering basic question,1
debating getting happy explore thanks,1
received echo perfect condition device easy set responds quickly issue alexa great addition family,1
use time love quality product,1
family bought help communicate older parent grandparent need simpler device full-fledged tablet fantastic potential - digital photo screen video call easy access music audio book etc setup discovered huge lurking negative amazon force view continous spam home screen promoting alexa feature turn thing settins turn 34things try34 instead beautiful digital photo screen weather time constantly spam ad home screen say 34try 34 amazon listen customer offer setting turn spam,0
worked need figure link device set sonos pretty easy product fault time figure,1
love super easy use hole button speaktakes right delay -,1
love cool music flash briefing 5 star echo,1
like hand free operation v tap use controlling smart plug,1
work great reason im leaving 3 star wont play plugged time pretty irritating especially outlet available,1
nice work great,1
love size echo spot fit nightstand capability echo like going sleep lightening storm image sound relaxing calling messaging feature great small travel love alexa product family us,1
fantastic product use smart home hub play music speaker mainly customizable routine nice easy program,1
use 3rd dot bought husband able contact fall doesnt access phone,1
love echo great sound smart,1
far pretty happy spot glorified alarm clockradio know cost effective eh like read review scrolling issue saw stop far good,1
perfect like little gizmo bought primarily 2 purpose set wake-up alarm individual day set wake-up music individually day second wanted control bedroom light voice shut falling asleep having bed turn switch echo spot smart plughas able accomplish bonus getting alexa play music amazon prime playlistswhats great alexa hard time understanding instruction repeating altering way thing pretty frustrating hopefully ai get better future added function,1
love echo,1
love echo alexa amazing 34she34 display lyric photo etc speaker amazing fill room bought prime day got great deal worth,1
turned old tv smart tv easy interface bought 4,1
love echo spot house like drop spot wish clock face customization option face general,1
great sound easy set,1
echo went refurbished save buck work great love new generation rubber - nice,1
work thrilled apps paid seprately,1
got good deal work great prime setup bit pain fault crappy internet service worked great nice sound small speaker,1
sound greatvideo great need learn video youtube listen music watch news,1
like echo best big screen watch movie preview movie alexa answer question,1
work great,1
huge amazon fan kindle echo waited bit wanted awhile love kid love love watching video lyric song video calling feature like advertisement thought long facetime cant spot spot cant skype aunt major disappointment,1
fun play - ask set alarm wake morning go tell alexa turn - alexa learns question ask play music ask play amazon music domain wake middle night turn light ask alexa time want current weather tell ask going city know friend dial havent said y contact,1
product turn randomly night,0
im learning use far echo great sound actually better expecting,1
easy set user friendly,1
,0
learning,1
easy set use bad plugged nice outside operate battery recharged,1
couldnt pleased amazon hit park look great run great love,1
work beautifully excellent sound,1
way music sound poor quality,0
la pelculas tiene o se pueden cambiar espaol o ttulos en espaol,0
im learning use figured read kindle book real bonus,1
subject line love,1
new amazon product great bought refurbished complete garbage purchase amazon refurbished total dissatisfaction,0
able tell,1
great device,1
pleased purchase echo smart speaker - love fact play music different genre wanthad trouble wi fi working,1
met expectation,1
computer room deck great watching video added sound dont echo dot perfect location add house music arrived nervana,1
easy use--amazing,1
easy use easy set,1
easy set use new feature skill added time,1
enjoy discovering new us,1
,1
doesnt respond wake word 3rd echo product little disappointed alexa voice assistant great come controlling connected home lot learn google assistant come getting answer search query,1
complaint far know exactly like new little cheaper great,1
learning way use real hit grandkids ask play music dance 5 7 yr cute,1
handy hell 1010 recommend,1
love able alexa sing careless whisper ear wake,1
work great bedside clock microphone alexa doesnt work normal echo alexa doesnt hear try interrupt new instruction speaker isnt good normal echo screen small useful viewing type video seeing who door great bedside,1
bought fire stick tv argument watch,1
love wanted,1
like interaction asking question dont like cant ask setup schedule connected lamp,1
love thing work great kid love,1
packaging beautiful 2 dot echo plus love echo roomyou 34alexa turn screen34 black good sleeping,1
love,1
looked brand new work great love echo dot refurbished one like new,1
love grandkids,1
iove bought son wanted awesome,1
course,1
ive gen echo came worked purchased 2nd gen prime day far im happy improved speaker provides enhanced sound music,1
thanks,1
hoping better clock face alarm clock replacement display brightness dims night accomplish taskthe display work camera viewingit attractive device decent value 99,1
like time setup skill want simply use music flash briefing daily satisfied use alexa app kindle hd8,1
love it--- inside house pool good bose speaker house -,1
ton feature skill good speaker plenty bass music need work ai responding random question android phone far better echo lot 34hmm im sure34 34i dont opinion that34,1
love alexa love echo dot trouble speaker intercom,1
happy echo plus having fun learning,1
enjoyed changing directv channel play iheartradio pandora adjusts ac thermostat turn living room light outside light,1
husband like able use listen music wish knew capability,1
nice,1
listens way expected love,1
love new addition house speaker quality great love alexa complaint suggestion future series better communication ability example smart light house specify kitchen light 1 kitchen light 2 prior command wont respond say doesnt recognize want alexa respond thank repeat alexa thank time wont respond husband know sound odd laugh maybe southern thing want alexa manner,1
pleased item display clean crisp easy read enjoy trying suggested thing try asking alexa use timer feature bit added calendar contact exploring skill available,1
easy set family love,1
got 2nd echo house regular echo echo dot easy set sound enjoyable wishing gone regular echo solely based sound,1
love,1
im hoping skill advantage show touch screen there incredible untapped potential locked restriction use best having enable skill navigate touch,1
invasive scared crap speaking spoken creapy af,0
love size 2nd generation echo need little improvement sound,1
learning echo far love 9 year old love cook especially aunt life state connect cook,1
easy set easy use,1
love,1
satisfied purchase package came good time expected,1
3rd dot love,1
work great killer speaker wife son love,1
couple day alexa answer disconnected better reconnecting,0
awhile finally got buying 3 home wife legally blind use computer godsend 100 amazon music listen music check weather phone number call etc etc learning tell absolutely amazing purchased 4 extended family grandchild absolutely love playing music alexa wifi direct cable capability speakerstereo option choosing worth money wont regret,1
,1
got smart hub exactly say turn light arm disarm security system thermostat greatproduct,1
love,1
product easy use entertaining hook tv light look forward,1
like voice activated dont link bluetooth device alexa device,1
ease set overall functionality make echo worth penny especially like setting background screen able set affirmation use personalized reminder,1
adding room convenience,1
nope lot improved thing ask say hmmmm dont know,0
received echo gift loved decided dot bedroom easy set big difference sound quality buy,1
liked linked prime,1
good hearing range sound quality bit complicated set doesnt understand lot speaking slowly clearly love flash briefing feature interfacing abode home security system,1
like compact structure dot sound little low,1
great product,1
im happy purchased alexa recently saw friend home played music talking product love sound love tell alexa ask question responds immediately havent able listen cd problem stereo equipment time make extremely happy issue longer,1
sound quality great learning different thing fun,1
purchased echo plus build-in hub convenience asking alexa turn light lamp philip hue light bulb placed fixture wanted alexa control work great echo dot kitchenden area placed echo plus hub bedroom radio lamp kitchen den controlled tp-link plug ceiling light fixture lamp den bedroom special philip hue light bulb controlled hub inside echo plus able play music set alarm weather report numerous thing device echo dot requires tp-link plug plugged echo plus requires special philip light bulb installed light fixture work thing dislike high price light bulb required light work regular light bulb placed ceiling light fixture work alexa echo plus hub high price bulb love echo plus built hub,1
love fire stick,1
love product use turn light answer quick question,1
like built hub plus unit sound great wish volume control,1
great product set easy sound wonderful,1
second dot,1
happy purchase great speaker easy set,1
talk play type music want listen turn ask,1
exactly wanted speedy shippingthank,1
ummm tv like,1
small speaker tin sound great good bluetooth speaker,1
bedroom clock ask question weather reportsalarm clock music download music,1
like design visuals,1
love,1
impressed look clarity sound color,1
work need learning command unique owner user like alexa learn tashas birthday alexa learn definition fine etc great,1
wish internet search like feature,1
fun use love novelty gadget alexa work,1
glad got echo bluetooth speaker alexa stuff non smart speaker personally love timer feature helped cooking multiple thing simultaneously pandora integration feature use daily happy prime day purchase echo hub echo dot future,1
bought replace 34dot34 living room speaker slightly better hears better tv unfortunately doesnt understand respond request dot frequently request 2 3 time want dot usually exactly want request dont consider upgrade,1
useful device use turn light house work alexa device command near process request handle function device enjoy thought,1
love make simple thing life simpler,1
dont,0
work great bought direct amazon got tell item echo echo plus best item kind tech geek disabled person help turn light schedule doctor appointment google voice phone medical ride hospital play music cue multiple web apps watch video communicating nurse aide schedule calendar event wish program helped disabled people smart light literally best item chocolate assist disabled literally anybody need echo hub set echo plus hub light use amazon device shut light thank god working as turn light thank amazon save money buy gift card affirmcom purchase 1 light rest house jeff bezos awesome item allowing amazon prime lower cost disability finally able buy item prime day event helped earn month 672 ssdi thank,1
stopped working 7 month warranty good 3 month assumed amazon product sold amazon higher standard guaranteeing work 3 month mean product supposed piece junkthey offered 15 discount wanted buy want buy,0
echo dot expected,1
great technology cant believe speaker volume quality wonderful wish bought,1
alarmbed time story universal,1
im amazed alarm tell alexa wake particular song love play list music sure dont prime music available love fact amazon gave music free 3 monthsthey given prime free 3 month,1
great product,1
working,0
device great speaker screen quality phenomenal,1
neat tool enjoy family,1
far light music connect tv vacuum doorbell soon love,1
im unhappy firestick time change program channel program long delay 2 rokus work fine quick,0
loud thought going,1
work great sound great miss beat wish battery better portability,1
love best gift got,1
like having music,1
love alexa,1
easy set,1
got month ago idea help control smart bulb useful answering question getting daily weather updatesits far usefulhalf time wake device ask question initiate command doesnt hear turn basically ignoring unable answer basic questionsits frustrating alexa work making life easieri return im past return period zzzz,0
like product bought prime day week 30 cheaper prime day cool device wish waited,1
bought daughter turned 9 love especially like calling feature doesnt cell phone love playing music dancing amazon music play favorite song lol,1
having real difficulty working echo dot alexi smart 9 10 question asked 34im sure34 half time asking question alexi saying 34im sure34 music great work far frustrating experience,0
primarily music bedroom wish speaker better fidelity,1
love,1
worked month stopped ive tried try work working want refund,0
fun item play hard time answering question ask think better,1
bought echo dot sale prime day excited came day set immediately worked perfectly fine set easy straight forward appreciated terrible technology reason satisfied purchase fact cant use echo dot 15 minute disconnecting internet connected 24ghz 5ghz wifi link work frustrating getting use echo dot wish problem solution let know,1
tube wouldnt bought known,0
love learning make lot thing easier like forget turn light room ask alexa turn light,1
34never buy certified refurbished echo dot 34 bought 34certified refurbished 34 echo dot unit poor receiving command acknowledge command buy refurbished echo dot unit received probably certified refurbished indicated bought new echo dot work perfectlyvery disappointed,0
love light bulb feature,1
got love,1
bought love alexa convenient,1
alexa awesome rcieved light buld know u need adapter light buld work aware disappointed,0
use primarily play music work wonderfully getting thing amazon sent tip got thanks help,1
purchased beginning learn far pleased amazed different action perform enjoying looking forward learning option provides,1
work great existing smart home setup,1
there dislike alexa dot thought cortna cool alexa awesome application family unbelievable device alive,1
work great good sound,1
love echo love bought prime day regret love connect ring door yhe kid like seeing lyric song sing,1
love itso happy available,1
cool,1
reached amazon device wanted sync phone number allow said number use customer service couldnt help basically told contact sprint assist echo bare minimum access phone set kind pointless pay,0
sent 85 year old dad talk constantly,1
love bought granddaughter 3 play music ask question entertained hour good buy honest opinion,1
love echo plus mainly dont worry putting cd play command song play disappointed learn later needed stay plugged unlike echo consulting amazon learning purchase portable echo charging station im goodsincerely,1
work like charm,1
easy use,1
2 echo bought brand new refurbished onehonestly cant tell difference performance look,1
love,1
user friendly,1
alexa fun ive added smart home aspect friend listens spotify husband enjoys interacting,1
super fun ty expecting,1
described received time like automatic enrolment music,1
work,1
easy set trying connect light bulb smart plug grandkids think alex cool,1
love,1
love echo spot daughter son law got birthday alexa wake morning play music ask,1
great product fast shipping thank,1
absolutely love,1
replaced 1st gen concerned smaller unit having soundi wrong volume clear good product,1
far good neat visual version alexas response nice lyric music listening flash briefing good video speaker better dot highest quality,1
item longer work 5 month use connect wifi unresponsive reset request,0
alexa perfect people like living talk sanity wish powerful speaker need connect bluetooth speaker,1
love easy set far wish little set instruction lot like able idea like,1
work great control tv light device lately ive wake dont know time dont want open eye shout 34alexa time it34 figure house hold chore walk dog itd golden sound great size expect echo plus better audio larger expensive echo,1
product phone look weather watch video,1
great sound little speaker,1
easy set straight forward direction load fast,1
fun tech toy,1
alexa beginning accidentally spilled water replaced 2nd generation decided couldnt echo setup easy working minute,1
alexa rock,1
work great perfect office,1
easy set enjoying,1
got love,1
good product,1
highly like eco showno complaint,1
great,1
fantastic product use smart home hub play music speaker mainly customizable routine nice easy program,1
echo great home voice range ask question command turn light favorite play music house,1
purchased toy hauler came day left trip plane wonderful plug hotel tv watch normal tv show showing time sit commercial,1
love size video good quality sound awesome,1
easy setup,1
awesome device wish bought age ago,1
love play sleep sound immediately ask,1
bought specifically wife look arlo security camera bedroom im work system worked day give error message disappointed fact advertise system work gave star,1
plug n play set simple added battery base portable looking forward hub,1
,1
work absolutely great,1
great sound screen nice actually time trivia etc,1
having cellphone use feature ipad use great alarm u r deaf hear alarm bedroom living room reason herit fun ask random question hear response smartbon politics,1
dont use thought synced kasa-cam use check baby crib lot lyric music cool clock standard dotish feature,1
love echo house shes reminding playing music talking love,1
learning capabilitiesbut far pretty pretty pretty good,1
easy install excited use,1
like able weather information quickly hear music played speaker clear enjoying like creepy day husband played particular song stereo day asked echo play music artist specifying particular song echo played exact song artist husband played stereo day little disconcerting,1
work new version got discount echo speaker decided purchase version amazon state warranty,1
love spot dot regular echo,1
sound quality wasnt great inexpensive,1
got gift cool view news recipe shopping list,1
love speaker screen,1
like clear screen hi resolution,1
,1
original alexa tap far 2nd generation best im happy making improvement new oneit great update little ai think help lot bug happy play music house adjust bass treble thank,1
like,1
echo spot helped streamline day efficient reminds appointment warns traffic snarl tell weather day suggesting new music introducing new artist,1
,0
incredible piece technologyi right center living room island kitchen counter mic speaker go direction quality sound good connected echo bluetooth sony soundbar tv find echo placement 360 sound appealing audiophile equipment good range decent bass sound adequate indoor entertaining loud bother neighbor building knob work great adjusting volume echo device imagine having press volume button echo 2 large inconvenience precise recommend regular echo 2nd generationthe piece look quality sturdy weight rubber material good grip granite counter-- cat rub scent tipping overthis order came free philip hue bulb installed extra bought 2 bulb living room floor lamp turned light 34alexa connect devices34 default name bulb assigned 34first light34 34second light34 dimmer floor lamp turned onoff light saying 34alexa turn second light34 alexa app created group 34first light34 34second light34 named group 34the light34 turn lamp bulb shining 34alexa turn light34i surprised easily bulb connected echo plus built hub thought buy hub bridge connect floor lamp power plug apparently technology built directly inside bulb surprised awesomeyou feel like tony stark device added 34skills34 like thunderstorm sound quote day alexa load quickly adding song hear specific playlist amazon music great featurei second day ownershipi lucky buy 100 prime day think 150 pretty expensive considering echo 2 100 opinion paying premium echo plus decide value you1 taller 360 sound unit2 volume knob spin think huge benefit buttons3 built hub hue bulb researching con setup plan having advanced light setup floor lamp perfecti highly recommend buy echo dot bedroom,1
love,1
purchased echo plus built-in hub prime day sale delivered fast easy link wifi connected smart plug control light love telling alexa play music hears 2 room away excited learn new us,1
connecting sound perfect 4 internal battery disconnect power source,1
liked actually seeing word song guess expected little currently available,1
easy set work wonderful love,1
far like,1
owned echo overa year new lack easy way increase decrease volume telling increase decrease volume hard wife english second language born korea sound echo superb,1
,1
outstanding product - easy use work great,1
getting alexa think shes keeper,1
work great great picture easy setup use,1
able add speaker plus deck outside love big alexia bedroom,1
cool little speakeri love alarm connected speaker sound great,1
perfect home office,1
doesnt use apple music worthless sound quality poor,0
pleased echo love nice feature highly recommend,1
better sound,1
absolutely love,1
,1
technology small device price good sound amazing feature home,1
love,1
exho home love,1
love,1
small problem box rep amazon called walked reset process solved issue shocked response quickly real effort including follow email thing working 6 google clone use learn like plan install car boat garage alexa new best friend loli think gf worried alexa learns cook time limited,1
home great time music talking happens randomly sensitive listening option change engagement command 34alexa34 34computer34 little annoying color black white good thing,1
good cant hear,1
echo said work certain apps butnot cozi state work echo cozi family doesnt amazon need drawing board needed piece technology lack essential fix cost echo marvelous got echo shopping list far adding item list long lag router slow provider speed gb speed problem new item updated cozi slow help needed updated a1 working conditioning,0
amazing entertainment need,1
great bundle fun music game question etc luv turn smart light purchase 4 smart light lamp living room room,1
easy set lot thing watch program gotten far easy use highly recommended leaning closer cutting cable cord good,1
control smart home device work great,1
im paranoid person 30 year got hooked idea cloud based home control yes love echo stuff create isolated vlan home network run device including cheap one require sign questionable website download app carful people entering wi-fi password site thats vetted location app askes good thing try stay device work directly alexa hub third-party app amazon control type device sensitive information handled,1
work great different new one,1
love alexa,1
liked linking room home,1
kid love love,1
love echo plus better versatility generation echo intercom voice-controllable smart bulb awesome,1
love dot easy use plus echo spot favorite feature ability listen music amazon iheart radio pandora,1
happy speaker isnt great reason lot time play music start weird noise stop son google home better,0
sound terrible pair echo play simultaneously upgrade amazon music want play device time,0
loved,1
outlet work disappointed,1
im disappointed amazon technology,1
trouble echo dot got internet connection issue research online saw people trouble 2nd generation echo dot weekend took trip brought echo dot hotel work fine home internet connection gotten little rough patch havent problem having connection issue echo dot probably internet device,1
plenty option choose,1
like helful certain thong supported amazon,1
love,1
5th amazon echo device purchased refurbished satisfied time different cant tell brand new price 10 cheaper echo wake timer play music act encyclopedia turn light,1
couple echo dot previously - bought specifically ring doorbell video cloud cam display interface capability disappointed love fact ask yard yard door etcthe video chat room coolbonus alexa ant man trailer etci know laptopdesktop cool having appliance thats doesnt interrupt im,1
twice working,0
love great product,1
love simple set love fact answer question bought everybody family like jetsons,1
echo dot echo better fuller sound setup let phone call contact list great,1
entering 34smart34 technology world havent figured far pretty cool,1
work tube tv,1
love product use bedroom clock perfect size lot option thing like add ability fall asleep mu set timer like tv t hcfe sleep mode,1
great device responsive helpful,1
,1
need work command sound equal regular echo dont need smart hub regular echo sound ok bass old soundlink mean hey get loud treble sound clear,1
